Lista de participantes ativos do Pix
 ;Nome Reduzido;ISPB;CNPJ;Tipo de Instituição;Autorizada pelo BCB;Tipo de Participação no SPI;Tipo de Participação no Pix;Modalidade de Participação no Pix;Iniciação de Transação de Pagamento;Facilitador de serviço de Saque e Troco (FSS)
178;CC CREDPLUS;25536764;25.536.764/0001-27;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
179;CC DA FOZ DO RIO ITAJAÍ AÇU;09512539;09.512.539/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
180;CC DE EMPRESÁRIOS;04247370;04.247.370/0001-89;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
181;CC DE ITAPETININGA - SICOOB CRED-ACI;08844074;08.844.074/0001-16;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
182;CC DISTRITO FEDERAL E ENTORNO;01187961;01.187.961/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
183;CC DO NORTE CATARINENSE;03461243;03.461.243/0001-15;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
184;CC DO NORTE CATARINENSE E SUL PARANAENSE;81011686;81.011.686/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
185;CC DO PLANALTO SUL;03033469;03.033.469/0001-15;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
186;CC DO VALE EUROPEU - SICOOB EURO VALE;82133182;82.133.182/0001-33;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
187;CC EMP DA CIA INDUSTRIAL CATAGUASES E BAUMINAS LTDA.;19495266;19.495.266/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
188;CC EMPRESÁRIOS DE MANAUS;10808037;10.808.037/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
189;CC GUARANICREDI;26014175;26.014.175/0001-41;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
190;CC INTEGRADO - SICOOB INTEGRADO;07122321;07.122.321/0001-08;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
191;CC INTEGRANTES MIN PUBL E PODER JUDIC AP E CE E CCLA PA;84156470;84.156.470/0001-39;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
192;CC INV DE RONDÔNIA - SICOOB CREDJURD;04751713;04.751.713/0001-48;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
193;CC INVESTIMENTO LIVRE ADMISSÃO DO OESTE DE RONDÔNIA;05597773;05.597.773/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
194;CC LAR CREDI;39343350;39.343.350/0001-96;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
195;CC LITORÂNEA;85291086;85.291.086/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
196;CC MECUNP;20833992;20.833.992/0001-45;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
197;CC MERCADO IMOBILIÁRIO - SICOOB IMOB.VC;14913919;14.913.919/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
198;CC MONTECREDI LTDA.;71392047;71.392.047/0001-96;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
199;CC NO PIAUÍ - SICOOB PIAUÍ;05477038;05.477.038/0001-73;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
200;CC NOROESTE DE MINAS;86564051;86.564.051/0001-61;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
201;CC NOSSA SENHORA DO DESTERRO;03419786;03.419.786/0001-74;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
202;CC NOSSO - SICOOB NOSSO;59869560;59.869.560/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
203;CC NOSSOCREDITO;22760839;22.760.839/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
204;CC ORIGINAL - SICOOB ORIGINAL;81292278;81.292.278/0001-81;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
205;CC PODER JUD E MP MG;03519240;03.519.240/0001-95;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
206;CC REG. COLAR METROPOLITANO VALE DO AÇO LTDA;17361536;17.361.536/0001-35;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
207;CC REGIÃO CENTRAL MG;22749014;22.749.014/0001-45;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
208;CC REGIÃO MERIDIONAL BRASIL;05392810;05.392.810/0001-54;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
209;CC SACRAMENTO;71154256;71.154.256/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
210;CC SÃO FRANCISCO DE SALES LTDA.;01374196;01.374.196/0001-47;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
211;CC SERV FIN CTBA E REG;05097757;05.097.757/0001-69;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
212;CC SERV MIL POL CIVIL SEC ED;03269540;03.269.540/0001-63;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
213;CC SERV. MUN SANTO ANDRÉ SP - CECRESA;00512839;00.512.839/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
214;CC SICOOB 3 COLINAS;04013172;04.013.172/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
215;CC SICOOB ALIANÇA;06174009;06.174.009/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
216;CC SICOOB CENTRAL BA;34148882;34.148.882/0001-59;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
217;CC SICOOB COOPEC LTDA.;32615247;32.615.247/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
218;CC SICOOB COOPEMAR;04174720;04.174.720/0001-24;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
219;CC SICOOB COOPMIL;62673470;62.673.470/0001-73;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
220;CC SICOOB CREDCOOP;02528151;02.528.151/0001-42;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
221;CC SICOOB CREDICONQUISTA;02282165;02.282.165/0001-29;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
222;CC SICOOB CREDITIROS;42880617;42.880.617/0001-99;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
223;CC SICOOB CREDMETAL;03535065;03.535.065/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
224;CC SICOOB CREDSEGURO LTDA.;02935307;02.935.307/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
225;CC SICOOB ENGECRED;04388688;04.388.688/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
226;CC SICOOB EXTREMO SUL LTDA.;02447120;02.447.120/0001-67;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
227;CC SICOOB HORIZONTE;07194313;07.194.313/0001-77;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
228;CC SICOOB INOVA;04321309;04.321.309/0001-34;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
229;CC SICOOB IPÊ;24610065;24.610.065/0001-17;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
230;CC SICOOB ITAPAGIPE;71506513;71.506.513/0001-17;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
231;CC SICOOB METROPOLITANO;03459850;03.459.850/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
232;CC SICOOB NORTE SUL;02876918;02.876.918/0001-24;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
233;CC SICOOB OURO VERDE;05582619;05.582.619/0001-75;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
234;CC SICOOB SERTÃO;02057584;02.057.584/0001-67;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
235;CC SICOOB VALE SUL;02466552;02.466.552/0001-15;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
236;CC UNIÃO CENTRO OESTE LTDA;26178111;26.178.111/0001-86;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
237;CC UNIÃO DO CENTRO OESTE DE MINAS;65239402;65.239.402/0001-99;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
238;CC UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL;00075847;00.075.847/0001-35;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
239;CC UNICRED COOMARCA;04355489;04.355.489/0001-75;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
240;CC UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA;01039011;01.039.011/0001-48;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
241;CC UNICRED EVOLUÇÃO LTDA.;01727929;01.727.929/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
242;CC UNICRED UNIÃO LTDA - UNICRED UNIÃO;74114042;74.114.042/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
243;CC UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL;74064502;74.064.502/0001-12;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
244;CC VALE DO CANOAS;00707903;00.707.903/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
245;CC VALE ITAJAÍ E ITAPOCÚ;02883398;02.883.398/0001-87;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
246;CCC DO ESP.SANTO - SICOOB ES;32428294;32.428.294/0001-43;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
247;CCC DO ESTADO DE SÃO PAULO;63917579;63.917.579/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
248;CCC DO NORTE DO BRASIL;03502131;03.502.131/0001-65;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
249;CCC DOS EST DE MT, MS E MUN DE CACOAL/RO;00106180;00.106.180/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
250;CCC ESTADO MG - CECREMGE;00309024;00.309.024/0001-27;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
251;CCC ESTADO SP - CECRESP;62931522;62.931.522/0001-64;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
252;CCC MINAS GERAIS - CREDIMINAS;25683434;25.683.434/0001-64;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
253;CCC SICOOB CENTRAL SC/RS;80160260;80.160.260/0001-63;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
254;CCC UNICOOB-SICOOB CENTR UNIC;05036532;05.036.532/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
255;CCI UNINDÚSTRIA;53841911;53.841.911/0001-08;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
256;CCLA ALTO SÃO FRANCISCO;41805003;41.805.003/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
257;CCLA ANÁPOLIS E REGIÃO;33615055;33.615.055/0001-65;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
258;CCLA ARCOS;71230338;71.230.338/0001-88;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
259;CCLA BOA ESPERANÇA;00869687;00.869.687/0001-04;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
260;CCLA CAMPOS GERAIS E CAMPO DO;71146450;71.146.450/0001-35;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
261;CCLA CARMO DO RIO CLARO;25743311;25.743.311/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
262;CCLA CENTRO BRASILEIRA LTDA.;37395399;37.395.399/0001-67;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
263;CCLA CENTRO NORDESTE - SICOOB CENTRO NORDESTE;03102185;03.102.185/0001-33;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
264;CCLA CENTRO NORDESTE MINEIRO;02173447;02.173.447/0001-98;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
265;CCLA CENTRO NORTE MT/MS;03326437;03.326.437/0001-08;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
266;CCLA CENTRO OESTE LTDA.;07502031;07.502.031/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
267;CCLA CENTRO-SUL GOIANO;33579731;33.579.731/0001-92;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
268;CCLA CERES E RIALMA LTDA;09576849;09.576.849/0001-82;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
269;CCLA CIRCUITO CAMPOS VERTENTES;02232383;02.232.383/0001-59;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
270;CCLA CIRCUITO DAS ÁGUAS;03941182;03.941.182/0001-93;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
271;CCLA CREDIEMBRAPA;02338666;02.338.666/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
272;CCLA CREDINOVA LTDA. - SICOOB CREDINOVA;01667766;01.667.766/0001-97;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
273;CCLA CREDISIS JICRED;02309070;02.309.070/0001-51;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
274;CCLA CREDSAOPAULO;02197569;02.197.569/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
275;CCLA DA GRANDE GOIÂNIA LTDA.;10209619;10.209.619/0001-64;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
276;CCLA DA PARAÍBA - SICOOB PARAÍBA;11907520;11.907.520/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
277;CCLA DA REGIÃO CENTRAL DE RONDÔNIA;02144899;02.144.899/0001-41;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
278;CCLA DA REGIÃO DE  PARÁ DE MINAS;25387713;25.387.713/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
279;CCLA DA REGIÃO DE FRUTAL;71419600;71.419.600/0001-37;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
280;CCLA DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.;07599206;07.599.206/0001-29;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
281;CCLA DE ARARAQUARA E REGIÃO;53236808;53.236.808/0001-39;Cooperativa de Crédito;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
282;CCLA DE BH E CIDADES POLO DE MG;01760242;01.760.242/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
283;CCLA DE ITAJUBÁ - SICOOB SUDESTE MAIS;04079285;04.079.285/0001-59;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
284;CCLA DE ITAÚNA E REGIÃO LTDA;66463407;66.463.407/0001-63;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
285;CCLA DE PALMEIRAS E REGIÃO;37631058;37.631.058/0001-43;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
286;CCLA DE PERNAMBUCO - SICOOB PERNAMBUCO;03732359;03.732.359/0001-41;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
287;CCLA DE PITANGUI E REGIAO LTDA;04181542;04.181.542/0001-69;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
288;CCLA DE POMPEU LTDA.;66262643;66.262.643/0001-11;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
289;CCLA DE RIO VERDE E REGIÃO;09033698;09.033.698/0001-16;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
290;CCLA DO CENTRO SUL DE MS;10319386;10.319.386/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
291;CCLA DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;10262276;10.262.276/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
292;CCLA DO ESTADO DO PARÁ - SICOOB COOESA;83836114;83.836.114/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
293;CCLA DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE;09424988;09.424.988/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
294;CCLA DO PLANALTO CATARINENSE;01389651;01.389.651/0001-88;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
295;CCLA DO PLANALTO SERRANO;01692448;01.692.448/0001-86;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
296;CCLA DO SUL CATARINENSE;03427097;03.427.097/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
297;CCLA DO TOCANTINS;26960328;26.960.328/0001-43;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
298;CCLA DO VALE;86829827;86.829.827/0001-28;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
299;CCLA DO VALE DO CANOINHAS;78834975;78.834.975/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
300;CCLA E DOS ADV;02480577;02.480.577/0001-73;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
301;CCLA EMPREG DOS CORREIOS - SICOOB COOPERCORREIOS;03862898;03.862.898/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
302;CCLA ITAPIRANGA;78483310;78.483.310/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
303;CCLA JATAÍ E REGIÃO;10143499;10.143.499/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
304;CCLA LAGOA DA PRATA;01739375;01.739.375/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
305;CCLA LESTE E NORDESTE MINEIRO;01559914;01.559.914/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
306;CCLA MARGEM ESQUERDA DO URUCUI;14046512;14.046.512/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
307;CCLA MEIO OESTE CATARINENSE;80959638;80.959.638/0001-93;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
308;CCLA MONTES CLAROS;02031139;02.031.139/0001-28;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
309;CCLA NOROESTE DE MG CREDIPINHO;71154876;71.154.876/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
310;CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT;23623636;23.623.636/0001-95;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
311;CCLA OESTE MINEIRO LTDA-SICOOB;71297899;71.297.899/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
312;CCLA PARA DE MINAS;01009908;01.009.908/0001-29;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
313;CCLA PEDRO LEOPOLDO;71441406;71.441.406/0001-58;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
314;CCLA PONTAL DO TRIANGULO;26178533;26.178.533/0001-51;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
315;CCLA PROD RURAIS TRIÂNGULO;41669227;41.669.227/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
316;CCLA PROF SAÚDE UNICRED ALIANÇA;70937271;70.937.271/0001-53;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
317;CCLA REG LESTE BACIA RIO DOCE;05158093;05.158.093/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
318;CCLA REG. CTR. E OESTE MINEIRO;01736516;01.736.516/0001-61;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
319;CCLA REGIÃO GUAXUPÉ;01699652;01.699.652/0001-29;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
320;CCLA RUBIATABA REGIAO;73422792;73.422.792/0001-66;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
321;CCLA SANTA CRUZ PALMEIRAS;06910457;06.910.457/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
322;CCLA SANTO ANTONIO DO MONTE;41707258;41.707.258/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
323;CCLA SEBASTIAO PARAISO;01657678;01.657.678/0001-04;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
324;CCLA SERV POD LEG MG - SICOOB COFAL;21797311;21.797.311/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
325;CCLA SICOOB ARENITO PARANÁ / SÃO PAULO;07026923;07.026.923/0001-61;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
326;CCLA SICOOB COOCRELIVRE;53935029;53.935.029/0001-21;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
327;CCLA SICOOB COOPCREDI;02254376;02.254.376/0001-58;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
328;CCLA SICOOB COOPJUS;25363615;25.363.615/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
329;CCLA SICOOB COPESITA;19875244;19.875.244/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
330;CCLA SICOOB CREDIACIL;08795285;08.795.285/0001-06;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
331;CCLA SICOOB CREDICARU SC/RS;00694389;00.694.389/0001-12;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
332;CCLA SICOOB CREDIMEPI;01644264;01.644.264/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
333;CCLA SICOOB CREDMISSÃO LTDA.;01667352;01.667.352/0001-68;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
334;CCLA SICOOB UNIÃO SUDESTE;07946216;07.946.216/0001-93;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
335;CCLA SICOOB UNIMAIS METROPOLITANA;00259231;00.259.231/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
336;CCLA SICOOB VALCREDI SUL;02090126;02.090.126/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
337;CCLA SUDOESTE GOIANO;24795049;24.795.049/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
338;CCLA SUL CATARINENSE;81367880;81.367.880/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
339;CCLA SUL MARANHENSE - SICOOB SUL MARANHENSE;26526166;26.526.166/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
340;CCLA SUL MINAS-SICOOB CREDIVAS;01604998;01.604.998/0001-04;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
